routine_idx,elapsed_min,numer,denom,routine_start,rate
489,27.933333333333334,0,1,2026-05-16 16:41:45.788000+00:00,0.0
490,34.15,0,2,2026-05-16 17:14:41.754000+00:00,0.0
491,27.316666666666666,0,3,2026-05-16 17:41:44.300000+00:00,0.0
493,32.083333333333336,0,1,2026-05-16 18:41:17.117000+00:00,0.0
494,32.916666666666664,0,3,2026-05-16 19:13:45.880000+00:00,0.0
495,30.65,0,1,2026-05-16 19:44:12.584000+00:00,0.0
496,26.55,0,2,2026-05-16 20:12:25.140000+00:00,0.0
497,25.183333333333334,0,1,2026-05-16 20:44:14.755000+00:00,0.0
498,31.883333333333333,0,3,2026-05-16 21:10:46.417000+00:00,0.0
499,30.016666666666666,0,2,2026-05-16 21:38:19.731000+00:00,0.0
500,30.25,1,4,2026-05-16 22:08:09.314000+00:00,0.25
501,27.333333333333332,0,2,2026-05-16 22:36:29.727000+00:00,0.0
503,29.616666666666667,0,1,2026-05-16 23:38:37.447000+00:00,0.0
504,30.483333333333334,0,6,2026-05-17 00:09:31.384000+00:00,0.0
505,72.8,0,4,2026-05-17 01:21:54.528000+00:00,0.0
506,62.96666666666667,1,1,2026-05-17 02:34:30.202000+00:00,1.0
507,85.85,0,3,2026-05-17 03:50:04.332000+00:00,0.0
508,92.63333333333334,1,5,2026-05-17 05:24:06.848000+00:00,0.2
510,64.18333333333334,0,2,2026-05-17 07:42:35.868000+00:00,0.0
511,54.75,0,1,2026-05-17 08:39:39.398000+00:00,0.0
512,49.1,0,3,2026-05-17 09:27:02.271000+00:00,0.0
513,42.233333333333334,0,2,2026-05-17 10:08:09.368000+00:00,0.0
514,39.416666666666664,0,2,2026-05-17 10:49:46.368000+00:00,0.0
515,29.1,0,1,2026-05-17 11:15:53.939000+00:00,0.0
518,32.43333333333333,0,1,2026-05-17 12:41:32.719000+00:00,0.0
519,32.733333333333334,0,1,2026-05-17 13:13:03.243000+00:00,0.0
522,35.43333333333333,0,2,2026-05-17 15:12:06.661000+00:00,0.0
524,27.85,0,2,2026-05-17 16:11:12.625000+00:00,0.0
525,28.85,0,2,2026-05-17 16:46:04.761000+00:00,0.0
526,32.5,0,2,2026-05-17 17:10:59.050000+00:00,0.0
527,27.833333333333332,0,1,2026-05-17 17:40:42.276000+00:00,0.0
528,30.3,0,2,2026-05-17 18:10:02.648000+00:00,0.0
530,31.85,0,2,2026-05-17 19:14:28.906000+00:00,0.0
531,32.95,1,5,2026-05-17 19:47:51.300000+00:00,0.2
532,26.216666666666665,0,1,2026-05-17 20:15:53.054000+00:00,0.0
533,23.316666666666666,0,1,2026-05-17 20:35:55.045000+00:00,0.0
534,33.81666666666667,1,2,2026-05-17 21:08:34.802000+00:00,0.5
536,31.233333333333334,0,1,2026-05-17 22:08:44.420000+00:00,0.0
537,28.383333333333333,1,3,2026-05-17 22:36:22.502000+00:00,0.3333333333333333
538,32.333333333333336,0,1,2026-05-17 23:09:36.613000+00:00,0.0
539,29.916666666666668,0,2,2026-05-17 23:42:37.054000+00:00,0.0
540,30.516666666666666,0,2,2026-05-18 00:09:39.894000+00:00,0.0
541,71.96666666666667,1,4,2026-05-18 01:21:15.296000+00:00,0.25
542,62.61666666666667,0,1,2026-05-18 02:23:23.692000+00:00,0.0
543,85.65,0,4,2026-05-18 03:50:03.680000+00:00,0.0
544,98.13333333333334,0,4,2026-05-18 05:27:40.164000+00:00,0.0
546,94.65,0,1,2026-05-18 08:28:19.648000+00:00,0.0
550,78.98333333333333,0,4,2026-05-18 14:10:52.653000+00:00,0.0
551,81.88333333333334,0,3,2026-05-18 15:29:05.856000+00:00,0.0
554,45.35,0,1,2026-05-18 18:25:15.598000+00:00,0.0
555,45.06666666666667,1,1,2026-05-18 19:11:13.213000+00:00,1.0
556,47.2,0,3,2026-05-18 19:57:47.111000+00:00,0.0
557,39.766666666666666,0,1,2026-05-18 20:36:30.262000+00:00,0.0
559,32.63333333333333,0,4,2026-05-18 21:50:11.233000+00:00,0.0
560,26.966666666666665,0,3,2026-05-18 22:12:40.658000+00:00,0.0
561,25.316666666666666,0,3,2026-05-18 22:38:57.299000+00:00,0.0
563,29.683333333333334,0,1,2026-05-18 23:42:17.506000+00:00,0.0
564,31.166666666666668,0,3,2026-05-19 00:13:24.876000+00:00,0.0
565,69.35,0,2,2026-05-19 01:26:45.890000+00:00,0.0
566,62.15,0,3,2026-05-19 02:23:34.135000+00:00,0.0
567,85.73333333333333,0,1,2026-05-19 03:50:19.589000+00:00,0.0
569,84.75,0,2,2026-05-19 06:50:50.060000+00:00,0.0
571,76.6,0,1,2026-05-19 09:31:57.744000+00:00,0.0
572,76.45,0,3,2026-05-19 10:51:15.591000+00:00,0.0
573,64.53333333333333,1,3,2026-05-19 11:52:50.742000+00:00,0.3333333333333333
574,77.25,1,2,2026-05-19 13:09:25.558000+00:00,0.5
575,63.45,0,1,2026-05-19 14:14:35.277000+00:00,0.0
576,74.73333333333333,0,1,2026-05-19 15:28:41.547000+00:00,0.0
577,70.56666666666666,0,1,2026-05-19 16:38:28.186000+00:00,0.0
579,44.233333333333334,0,2,2026-05-19 18:27:14.988000+00:00,0.0
580,50.6,0,1,2026-05-19 19:18:18.629000+00:00,0.0
582,44.916666666666664,0,2,2026-05-19 20:48:16.387000+00:00,0.0
583,31.233333333333334,0,1,2026-05-19 21:18:05.739000+00:00,0.0
584,35.21666666666667,0,2,2026-05-19 21:52:28.411000+00:00,0.0
585,38.56666666666667,0,1,2026-05-19 22:31:17.847000+00:00,0.0
586,25.716666666666665,0,3,2026-05-19 22:59:48.042000+00:00,0.0
589,53.43333333333333,0,1,2026-05-20 00:52:55.213000+00:00,0.0
590,45.766666666666666,0,1,2026-05-20 01:43:24.226000+00:00,0.0
591,57.833333333333336,1,1,2026-05-20 02:30:12.927000+00:00,1.0
592,81.83333333333333,0,1,2026-05-20 03:56:04.660000+00:00,0.0
595,83.93333333333334,0,1,2026-05-20 08:16:23.621000+00:00,0.0
596,74.96666666666667,0,1,2026-05-20 09:35:45.653000+00:00,0.0
597,67.25,0,2,2026-05-20 10:37:51.462000+00:00,0.0
598,68.1,0,1,2026-05-20 11:49:24.823000+00:00,0.0
599,55.43333333333333,1,1,2026-05-20 12:43:28.316000+00:00,1.0
600,62.516666666666666,0,2,2026-05-20 13:43:13.182000+00:00,0.0
601,62.25,0,2,2026-05-20 14:45:35.651000+00:00,0.0
603,45.03333333333333,0,2,2026-05-20 22:09:00.841000+00:00,0.0
604,39.1,0,2,2026-05-20 22:48:29.313000+00:00,0.0
605,28.983333333333334,0,1,2026-05-20 23:17:57.779000+00:00,0.0
606,31.233333333333334,0,2,2026-05-20 23:51:14.336000+00:00,0.0
608,67.88333333333334,1,4,2026-05-21 01:27:26.145000+00:00,0.25
