routine_idx,elapsed_min,numer,denom,routine_start,rate
616,68.71666666666667,0,1,2026-05-21 11:55:14.317000+00:00,0.0
617,66.58333333333333,0,1,2026-05-21 13:02:47.147000+00:00,0.0
619,73.21666666666667,0,2,2026-05-21 15:29:15.148000+00:00,0.0
620,62.233333333333334,0,2,2026-05-21 16:32:51.913000+00:00,0.0
621,56.1,0,2,2026-05-21 17:28:49.071000+00:00,0.0
622,47.2,0,2,2026-05-21 18:14:06.223000+00:00,0.0
623,44.36666666666667,1,2,2026-05-21 19:00:31.290000+00:00,0.5
625,48.45,0,1,2026-05-21 20:27:01.276000+00:00,0.0
626,41.71666666666667,0,1,2026-05-21 21:06:36.307000+00:00,0.0
630,27.15,0,1,2026-05-21 23:23:54.362000+00:00,0.0
632,39.06666666666667,0,1,2026-05-22 00:28:47.254000+00:00,0.0
633,57.733333333333334,0,1,2026-05-22 01:32:44.396000+00:00,0.0
634,53.96666666666667,0,1,2026-05-22 02:23:39.710000+00:00,0.0
635,86.86666666666666,1,5,2026-05-22 03:49:34.769000+00:00,0.2
636,86.33333333333333,0,2,2026-05-22 05:14:45.984000+00:00,0.0
637,82.78333333333333,0,1,2026-05-22 06:36:34.650000+00:00,0.0
640,76.71666666666667,1,4,2026-05-22 10:28:51.279000+00:00,0.25
641,63.233333333333334,0,3,2026-05-22 11:32:05.785000+00:00,0.0
644,58.9,0,3,2026-05-22 14:22:09.777000+00:00,0.0
645,73.71666666666667,0,2,2026-05-22 15:37:33.582000+00:00,0.0
646,63.333333333333336,1,2,2026-05-22 16:38:46.978000+00:00,0.5
647,48.666666666666664,0,2,2026-05-22 17:31:38.140000+00:00,0.0
648,43.56666666666667,0,2,2026-05-22 18:12:16.256000+00:00,0.0
649,46.333333333333336,0,1,2026-05-22 18:58:01.577000+00:00,0.0
650,38.2,0,1,2026-05-22 19:34:37.917000+00:00,0.0
651,50.416666666666664,1,2,2026-05-22 20:25:01.134000+00:00,0.5
654,24.866666666666667,0,1,2026-05-22 21:53:54.424000+00:00,0.0
656,27.0,1,2,2026-05-22 22:51:11.571000+00:00,0.5
657,35.21666666666667,0,4,2026-05-22 23:26:23.833000+00:00,0.0
658,28.3,0,2,2026-05-22 23:53:47.778000+00:00,0.0
659,34.71666666666667,1,2,2026-05-23 00:28:41.346000+00:00,0.5
660,53.233333333333334,0,1,2026-05-23 01:22:37.537000+00:00,0.0
661,58.53333333333333,0,1,2026-05-23 02:23:44.097000+00:00,0.0
662,87.06666666666666,0,1,2026-05-23 03:47:43.271000+00:00,0.0
663,74.93333333333334,0,2,2026-05-23 05:05:22.198000+00:00,0.0
664,68.83333333333333,0,2,2026-05-23 06:10:44.572000+00:00,0.0
668,42.8,0,1,2026-05-23 10:17:35.201000+00:00,0.0
670,31.766666666666666,0,1,2026-05-23 11:31:28.892000+00:00,0.0
675,38.15,0,2,2026-05-23 14:10:52.060000+00:00,0.0
677,27.116666666666667,0,1,2026-05-23 15:16:46.714000+00:00,0.0
681,32.266666666666666,0,1,2026-05-23 17:10:51.522000+00:00,0.0
686,32.85,1,1,2026-05-23 19:43:50.400000+00:00,1.0
687,26.75,0,1,2026-05-23 20:11:29.606000+00:00,0.0
688,23.0,0,1,2026-05-23 20:33:04.095000+00:00,0.0
690,27.983333333333334,0,1,2026-05-23 21:36:04.294000+00:00,0.0
691,30.766666666666666,0,1,2026-05-23 22:07:31.889000+00:00,0.0
692,28.966666666666665,0,4,2026-05-23 22:36:20.611000+00:00,0.0
693,31.333333333333332,0,1,2026-05-23 23:06:35.350000+00:00,0.0
694,30.716666666666665,0,3,2026-05-23 23:37:03.669000+00:00,0.0
695,30.45,0,2,2026-05-24 00:09:28.511000+00:00,0.0
696,73.8,0,1,2026-05-24 01:23:17.488000+00:00,0.0
698,87.1,0,2,2026-05-24 03:50:13.625000+00:00,0.0
699,85.98333333333333,1,3,2026-05-24 05:17:47.514000+00:00,0.3333333333333333
701,67.78333333333333,0,1,2026-05-24 07:35:13.334000+00:00,0.0
702,63.53333333333333,0,1,2026-05-24 08:39:34.052000+00:00,0.0
703,50.516666666666666,0,4,2026-05-24 09:30:33.991000+00:00,0.0
707,26.466666666666665,0,1,2026-05-24 11:57:28.406000+00:00,0.0
708,25.05,0,2,2026-05-24 12:21:24.722000+00:00,0.0
712,36.483333333333334,0,1,2026-05-24 14:46:51.647000+00:00,0.0
714,29.366666666666667,1,1,2026-05-24 15:45:25.143000+00:00,1.0
715,26.15,0,1,2026-05-24 16:12:13.595000+00:00,0.0
718,27.116666666666667,0,1,2026-05-24 17:38:10.555000+00:00,0.0
719,31.1,0,1,2026-05-24 18:09:11.603000+00:00,0.0
720,31.75,0,1,2026-05-24 18:39:59.855000+00:00,0.0
721,31.183333333333334,0,1,2026-05-24 19:11:38.539000+00:00,0.0
722,34.333333333333336,0,2,2026-05-24 19:47:11.865000+00:00,0.0
723,27.316666666666666,1,3,2026-05-24 20:15:25.557000+00:00,0.3333333333333333
725,32.71666666666667,0,2,2026-05-24 21:10:44.653000+00:00,0.0
726,28.016666666666666,0,1,2026-05-24 21:38:10.869000+00:00,0.0
727,30.95,0,1,2026-05-24 22:08:38.663000+00:00,0.0
728,29.833333333333332,0,1,2026-05-24 22:37:16.994000+00:00,0.0
732,74.03333333333333,1,1,2026-05-25 01:25:51.552000+00:00,1.0
733,57.766666666666666,0,4,2026-05-25 02:24:08.664000+00:00,0.0
734,87.11666666666666,1,3,2026-05-25 03:50:02.913000+00:00,0.3333333333333333
735,90.85,0,2,2026-05-25 05:19:22.424000+00:00,0.0
736,98.35,1,2,2026-05-25 06:59:16.012000+00:00,0.5
737,94.78333333333333,1,3,2026-05-25 08:33:19.521000+00:00,0.3333333333333333
738,83.13333333333334,0,1,2026-05-25 09:55:32.788000+00:00,0.0
739,87.96666666666667,0,1,2026-05-25 11:23:29.800000+00:00,0.0
741,66.76666666666667,0,1,2026-05-25 13:51:49.014000+00:00,0.0
742,71.86666666666666,1,3,2026-05-25 15:05:14.002000+00:00,0.3333333333333333
743,62.233333333333334,0,2,2026-05-25 16:07:12.723000+00:00,0.0
744,52.86666666666667,1,1,2026-05-25 17:00:55.720000+00:00,1.0
745,35.93333333333333,0,7,2026-05-25 17:39:21.108000+00:00,0.0
746,44.28333333333333,1,3,2026-05-25 18:20:20.659000+00:00,0.3333333333333333
747,44.983333333333334,1,2,2026-05-25 19:05:26.297000+00:00,0.5
