tweet_id,feed,posted_at,snapshot_at,snapshot_impressions,current_at,current_impressions,current_likes,author_followers
345865509734084608,xxl_dump,2013-06-15T11:28:58+00:00,2026-07-18T14:28:26.183+00:00,0,2026-07-22T10:02:00.901Z,0,4284,10286992
1730235498021478681,xxl_dump,2023-11-30T14:41:03+00:00,2026-07-18T14:28:26.183+00:00,3933193,2026-07-22T10:02:03.629Z,4073167,15613,40594
1913312718414840154,xxl_dump,2025-04-18T19:24:34+00:00,2026-07-18T14:28:26.183+00:00,8045,2026-07-22T10:05:50.303Z,8107,221,2476
2034566141163569260,xxl_dump,2026-03-19T09:42:23+00:00,2026-07-18T14:28:26.183+00:00,33,2026-07-22T10:02:03.629Z,39,0,3180
2054531851310579963,xxl_dump,2026-05-13T11:58:59+00:00,2026-07-18T14:28:26.183+00:00,30,2026-07-22T10:05:50.303Z,34,0,2231
2069453252358275453,xxl_dump,2026-06-23T16:11:18+00:00,2026-07-18T14:28:26.183+00:00,244043,2026-07-22T10:02:03.629Z,247362,1074,1177712
2072524891992003031,xxl_dump,2026-07-02T03:36:54+00:00,2026-07-18T14:28:26.183+00:00,9775,2026-07-22T10:05:50.303Z,9830,187,123
2075809096163590252,xxl_dump,2026-07-11T05:07:09+00:00,2026-07-18T14:28:26.183+00:00,30,2026-07-22T10:02:03.629Z,33,0,175
2076298148771758195,xxl_dump,2026-07-12T13:30:29+00:00,2026-07-18T14:28:26.183+00:00,34153,2026-07-22T10:05:50.303Z,35565,398,623551
2076720524386836694,xxl_dump,2026-07-13T17:28:51+00:00,2026-07-18T14:28:26.183+00:00,16,2026-07-22T10:02:03.629Z,18,0,49
2076924693626626130,xxl_dump,2026-07-14T07:00:09+00:00,2026-07-18T14:28:26.183+00:00,38832,2026-07-22T10:05:50.303Z,40577,1232,77914
2077084031129145659,xxl_dump,2026-07-14T17:33:18+00:00,2026-07-18T14:28:26.183+00:00,2185,2026-07-22T10:02:03.629Z,2730,92,3873
2077154476721582260,xxl_dump,2026-07-14T22:13:13+00:00,2026-07-18T14:28:26.183+00:00,10610,2026-07-22T10:05:50.303Z,10657,18,81195
2077284497834357175,xxl_dump,2026-07-15T06:49:53+00:00,2026-07-18T14:28:26.183+00:00,3016,2026-07-22T10:02:03.629Z,3084,230,951
2077320893156507751,xxl_dump,2026-07-15T09:14:30+00:00,2026-07-18T14:28:26.183+00:00,71,2026-07-22T10:05:50.303Z,71,0,2
2077392887608750331,xxl_dump,2026-07-15T14:00:35+00:00,2026-07-18T14:28:26.183+00:00,2375,2026-07-22T10:02:03.629Z,2381,6,39
2077414193029161360,xxl_dump,2026-07-15T15:25:14+00:00,2026-07-18T14:28:26.183+00:00,1226,2026-07-22T10:05:50.303Z,1284,39,946
2077449364163744098,xxl_dump,2026-07-15T17:45:00+00:00,2026-07-18T14:28:26.183+00:00,5615,2026-07-22T10:02:03.629Z,5663,16,209508
2077462007482024212,xxl_dump,2026-07-15T18:35:14+00:00,2026-07-18T14:28:26.183+00:00,122256,2026-07-22T10:05:50.303Z,126644,106,4739
2077491843860975934,xxl_dump,2026-07-15T20:33:48+00:00,2026-07-18T14:28:26.183+00:00,46,2026-07-22T10:02:03.629Z,57,2,1943
2077501642593681452,xxl_dump,2026-07-15T21:12:44+00:00,2026-07-18T14:28:26.183+00:00,30471,2026-07-22T10:05:50.303Z,30731,930,15496
2077520102505730514,xxl_dump,2026-07-15T22:26:05+00:00,2026-07-18T14:28:26.183+00:00,295236,2026-07-22T10:02:03.629Z,298818,2562,597
2077528813718684128,xxl_dump,2026-07-15T23:00:42+00:00,2026-07-18T14:28:26.183+00:00,2918560,2026-07-22T10:05:50.303Z,2932088,35255,152211
